DrugBank ID,Synonyms
,"['AbobotulinumtoxinA', 'Botulinum A neurotoxin', 'Botulinum antitoxin type A', 'Botulinum toxin A', 'Botulinum toxin type A', 'BTX-A', 'EvabotulinumtoxinA', 'IncobotulinumtoxinA', 'OnabotulinumtoxinA', 'Prabotulinumtoxin A', 'Toxina botulínica A', 'Toxine botulinique A']"
,"['Filgrastim', 'Filgrastim-aafi', 'Filgrastim-sndz', 'G-CSF', 'Granulocyte Colony Stimulating Factor', 'Tbo-filgrastim']"
,"['Eptifibatida', 'Eptifibatide', 'Integrelin', 'Intrifiban']"
,"['Octreotida', 'Octreotide', 'Octreotidum', 'Octrotide']"
,"['Goserelin', 'Goserelina']"
,"['Coagulation factor IX (recombinant)', 'Coagulation factor IX recombinant human', 'Coagulation factor IX, recombinant', 'Factor IX (Recombinant)', 'nonacog alfa', 'nonacog gamma', 'Recombinant factor IX']"
,"['2-(L-phenylalanine)-8-L-lysinevasopressin', 'Felipresina', 'Felypressin', 'Felypressine', 'Felypressinum', 'PLV-2']"
,"['Darbepoetin', 'Darbepoetin alfa', 'Darbepoetin alfa,recombinant', 'Darbepoetina alfa']"
,['Tositumomab']
,"['Digitalis antitoxin', 'Digoxin Immune Fab, Ovine', 'Digoxin-specific Antibody Fragments', 'Ovine digoxin immune fab']"
,"['Insulin lispro', 'Insulin lispro (genetical recombination)', 'Insulin lispro (rDNA origin)', 'Insulin lispro protamine', 'Insulin lispro protamine recombinant', 'Insulin lispro recombinant', 'insulin lispro-aabc', 'Insulin,lispro,human/rDNA', 'Insulin,lispro,protamine/rDNA', 'Insulina lispro']"
,"['Insulin (pork)', 'Insulin porcine', 'Insulin purified porcine', 'Insulin purified pork', 'Insulin, porcine', 'Insulin, regular, pork', 'Porcine insulin']"
,"['(111In)-Capromab pendetide', 'Capromab pendetide', 'Indium (111In) capromab pendetide', 'Indium 111 Capromab Pendetide', 'Indium In 111 capromab pendetide']"
,"['Interferon alfa-2a', 'Interferon alfa-2a (genetical recombination)', 'Interferon alfa-2a (recombinant)', 'Interferon alfa-2a, recombinant', 'Interferon alfa-2a,recombinant', 'Interferon alpha-2a', 'Interferon-alfa-2a', 'Recombinant human interferon alfa-2a', 'Recombinant human interferon-alfa-2a', 'rIFN-alpha-2a', 'SH-polypeptide-46']"
,"['Rasburicasa', 'Rasburicase', 'Recombinant urate oxidase', 'Urate oxidase']"
,"['Anisoylated plasminogen streptokinase activator complex', 'Anistreplase', 'APSAC']"
,"['Cetrorelix', 'Cetrorelixum']"
,"['Folitropina alfa', 'Folitropina beta', 'Folitropina delta', 'Follicle stimulating hormone', 'Follitrophin alfa', 'Follitrophin alpha', 'Follitrophin beta', 'Follitropin alfa', 'Follitropin alfa/beta', 'Follitropin alpha', 'Follitropin beta', 'Follitropin delta', 'Follitropin gamma', 'Follotropin recombinant', 'FSH', 'FSH alpha', 'FSH-a', 'FSH-b', 'FSH-beta', 'Recombinant human follicle stimulating hormone beta', 'Recombinant human follicle-stimulating hormone (r-HFSH)', 'rFSH-alpha']"
,"['(111In)-Capromab pendetide', 'Capromab pendetide', 'Indium (111In) capromab pendetide', 'Indium 111 Capromab Pendetide', 'Indium In 111 capromab pendetide']"
,"['Tenecteplasa', 'Tenecteplase', 'TNK-tPA']"
,"['Granulocyte colony-stimulating factor pegfilgrastim', 'peg-filgrastim', 'Pegfilgrastim', 'pegfilgrastim-apgf', 'pegfilgrastim-bmez', 'pegfilgrastim-cbqv', 'pegfilgrastim-jmdb']"
,"['Kinase (enzyme-activating), uro-urokinase', 'TCUK', 'Tissue culture urokinase', 'Two-chain urokinase', 'Urochinasi', 'Urokinase', 'Urokinasum', 'Uroquinasa']"
,"['Calcitonin (Salmon Synthetic)', 'Calcitonin salmon', 'Calcitonin salmon recombinant', 'Calcitonin-salmon', 'Calcitonin, salmon', 'Calcitonina salmón sintética', 'Recombinant salmon calcitonin', 'Salmon calcitonin']"
,"['IFN-gamma 1b', 'IFN-gamma-1b', 'Interferon gamma 1-b', 'Interferon gamma-1b', 'Interferon gamma-1b, recombinant', 'Interferon gamma-2a']"
,"['Rasburicasa', 'Rasburicase', 'Recombinant urate oxidase', 'Urate oxidase']"
,"['Becaplermin', 'PDGF-2', 'PDGF-BB', 'PDGFB', 'Platelet-derived growth factor BB, recombinant', 'Platelet-derived growth factor beta polypeptide', 'Recombinant platelet-derived growth factor BB', 'rhPDGF-BB', 'rPDGF-BB', 'SH-POLYPEPTIDE-59']"
,"['Cetuximab', 'Cétuximab', 'Cetuximabum']"
,"['Clostridiopeptidase A', 'Clostridium histolyticum enzymes', 'Collagenase', 'Collagenase clostridium histolyticum', 'collagenase clostridium histolyticum-aaes']"
,"['Pancrealipase', 'Pancreatic extract pancrelipase', 'Pancreatic protease', 'Pancreatin', 'Pancreatinum', 'Pancrelipase', 'Pancrelipase (amylase;lipase;protease)']"
,"['RHUMAB HER2', 'Trastuzumab', 'trastuzumab-anns', 'trastuzumab-dkst', 'trastuzumab-dttb', 'trastuzumab-pkrb', 'trastuzumab-qyyp']"
,"['Cetuximab', 'Cétuximab', 'Cetuximabum']"
,"['Becaplermin', 'PDGF-2', 'PDGF-BB', 'PDGFB', 'Platelet-derived growth factor BB, recombinant', 'Platelet-derived growth factor beta polypeptide', 'Recombinant platelet-derived growth factor BB', 'rhPDGF-BB', 'rPDGF-BB', 'SH-POLYPEPTIDE-59']"
,"['Clostridiopeptidase A', 'Clostridium histolyticum enzymes', 'Collagenase', 'Collagenase clostridium histolyticum', 'collagenase clostridium histolyticum-aaes']"
,"['Calcitonin (Salmon Synthetic)', 'Calcitonin salmon', 'Calcitonin salmon recombinant', 'Calcitonin-salmon', 'Calcitonin, salmon', 'Calcitonina salmón sintética', 'Recombinant salmon calcitonin', 'Salmon calcitonin']"
,"['Interferon alfa-2b', 'Interferon alfa-2b (recombinant)', 'Interferon alfa-2b, recombinant', 'Interferon alpha-2B', 'Interferon α-2b', 'Intron (Interferon α2b)', 'Intron A', 'Intron A (Interferon α2b)', 'r-INF-alpha', 'rIFN-alpha-2b']"
,"['Vasopressin, unspecified', 'Vasopressina']"
,"['Growth hormone', 'Growth hormone (human)', 'hGH', 'Human growth hormone', 'Recombinant human growth hormone', 'rhGH', 'Somatotropin (human)', 'Somatotropin human', 'Somatotropin human growth hormone', 'Somatropin', 'Somatropin (rDNA origin)', 'Somatropin (recombinant DNA origin)', 'Somatropin [rDNA origin]', 'Somatropin recombinant', 'Somatropin(recombinant DNA origin)', 'Somatropina']"
,"['Recombinant Human Thyroid Stimulating Hormone', 'Recombinant thyrotropin alfa', 'rhTSH', 'rTSH', 'Thyrotropin alfa', 'Thyrotropin alpha']"
,['Gemtuzumab ozogamicin']
,"['Interferon beta 1b (recombinant)', 'Interferon beta-1b', 'Interferon beta-1b,recombinant', 'Interferon-beta-1b', 'Recombinant interferon beta-1b']"
,"['Bacillus brevis gramicidin D', 'Gramicidin', 'Gramicidin A', 'Gramicidin B', 'Gramicidin C', 'Gramicidina', 'Gramicidine']"
,"['AbobotulinumtoxinA', 'Botulinum A neurotoxin', 'Botulinum antitoxin type A', 'Botulinum toxin A', 'Botulinum toxin type A', 'BTX-A', 'EvabotulinumtoxinA', 'IncobotulinumtoxinA', 'OnabotulinumtoxinA', 'Prabotulinumtoxin A', 'Toxina botulínica A', 'Toxine botulinique A']"
,"['Human t-PA (residues 1-3 and 176-527)', 'Reteplasa', 'Reteplase', 'Reteplase, recombinant', 'Reteplase,recombinant']"
,"['Darbepoetin', 'Darbepoetin alfa', 'Darbepoetin alfa,recombinant', 'Darbepoetina alfa']"
,"['Insulin lispro', 'Insulin lispro (genetical recombination)', 'Insulin lispro (rDNA origin)', 'Insulin lispro protamine', 'Insulin lispro protamine recombinant', 'Insulin lispro recombinant', 'insulin lispro-aabc', 'Insulin,lispro,human/rDNA', 'Insulin,lispro,protamine/rDNA', 'Insulina lispro']"
,"['Human menopausal gonadotrophin', 'Menotrophin', 'Menotropin', 'Menotropina', 'Menotropins (FSH;LH)']"
,"['IL-11', 'Interleukin 11', 'Interleukin-11', 'Oprelvekin', 'Recombinant interleukin-11']"
,"['Becaplermin', 'PDGF-2', 'PDGF-BB', 'PDGFB', 'Platelet-derived growth factor BB, recombinant', 'Platelet-derived growth factor beta polypeptide', 'Recombinant platelet-derived growth factor BB', 'rhPDGF-BB', 'rPDGF-BB', 'SH-POLYPEPTIDE-59']"
,"['Ciclosporin', 'Ciclosporina', 'Ciclosporine', 'Ciclosporinum', 'CsA', 'CyA', 'Cyclosporin', 'Cyclosporin A', 'Cyclosporine']"
,"['Cetrorelix', 'Cetrorelixum']"
,"['Ciclosporin', 'Ciclosporina', 'Ciclosporine', 'Ciclosporinum', 'CsA', 'CyA', 'Cyclosporin', 'Cyclosporin A', 'Cyclosporine']"
,"['.Alpha.-1 protease inhibitor', '.Alpha.1-proteinase inhibitor human', '122320-05-2', 'Alfa 1-proteinase inhibitor (human)', 'Alfa-1-antitripsina', 'Alfa1 antitrypsin', 'Alpha 1-antitrypsin', 'Alpha 1-Proteinase Inhibitor', 'Alpha 1-proteinase inhibitor (human)', 'Alpha 1-proteinase inhibitor human', 'Alpha 1-proteinase inhibitor, human', 'Alpha-1 protease inhibitor', 'Alpha-1 proteinase inhibitor (human)', 'Alpha-1-antiproteinase', 'Alpha-1-antitrypsin', 'Alpha-1-proteinase Inhibitor (human)', 'Alpha-1-proteinase inhibitor human', 'Alpha-1-proteinase Inhibitor, Human', 'Alpha-1-proteinase inhibitor,human', 'Alpha1-proteinase Inhibitor', 'Alpha1-proteinase inhibitor (human)', 'Alpha1-proteinase inhibitor human', 'Antileukoproteinase', 'API', 'Mucus proteinase inhibitor', 'Protease inhibitor wap4', 'Recombinant secretory leucocyte protease inhibitor', 'Recombinant secretory leukocyte protease inhibitor', 'Secretory leukocyte protease inhibitor (human)', 'SLPI', 'Wap four-disulfide core domain protein 4']"
,"['Vasopressin, unspecified', 'Vasopressina']"
,['Gemtuzumab ozogamicin']
,"['Darbepoetin', 'Darbepoetin alfa', 'Darbepoetin alfa,recombinant', 'Darbepoetina alfa']"
,"['(111In)-Capromab pendetide', 'Capromab pendetide', 'Indium (111In) capromab pendetide', 'Indium 111 Capromab Pendetide', 'Indium In 111 capromab pendetide']"
,"['alpha-L-Idosiduronase', 'Human Recombinant alpha-L-iduronidase', 'Laronidasa', 'Laronidase', 'Laronidase (genetical recombination)']"
,"['Recombinant Human Thyroid Stimulating Hormone', 'Recombinant thyrotropin alfa', 'rhTSH', 'rTSH', 'Thyrotropin alfa', 'Thyrotropin alpha']"
,"['Granulocyte colony-stimulating factor pegfilgrastim', 'peg-filgrastim', 'Pegfilgrastim', 'pegfilgrastim-apgf', 'pegfilgrastim-bmez', 'pegfilgrastim-cbqv', 'pegfilgrastim-jmdb']"
,"['125-L-serine-2-133-interleukin 2 (human reduced)', 'Aldesleukin', 'Aldesleukina', 'ILT-101', 'ILT101', 'Interleukin-2 aldesleukin', 'Interleukin-2(2-133),125-ser', 'Recombinant human interleukin-2', 'Recombinant interleukin-2 human']"
,['Pegvisomant']
,['Pegvisomant']
,"['Vasopressin, unspecified', 'Vasopressina']"
,['Gemtuzumab ozogamicin']
,"['Alteplasa', 'Alteplase', 'Alteplase (genetical recombination)', 'Alteplase, recombinant', 'Alteplase,recombinant', 'Plasminogen activator (human tissue-type protein moiety)', 'rt-PA', 't-PA', 't-plasminogen activator', 'Tissue plasminogen activator', 'Tissue plasminogen activator alteplase', 'Tissue plasminogen activator, recombinant', 'tPA']"
,"['Infliximab', 'Infliximab (genetical recombination)', 'Infliximab-abda', 'Infliximab-axxq', 'Infliximab-dyyb', 'Infliximab-qbtx']"
,"['Anakinra', 'IL-1RA', 'Interleukin-1 receptor antagonist anakinra']"
,"['Follitropin human', 'Urofollitrophin', 'Urofollitropin']"
,"['Human menopausal gonadotrophin', 'Menotrophin', 'Menotropin', 'Menotropina', 'Menotropins (FSH;LH)']"
,"['Infliximab', 'Infliximab (genetical recombination)', 'Infliximab-abda', 'Infliximab-axxq', 'Infliximab-dyyb', 'Infliximab-qbtx']"
,"['Anti-CD3', 'Muromonab-CD3']"
,"['Octreotida', 'Octreotide', 'Octreotidum', 'Octrotide']"
,"['Growth hormone', 'Growth hormone (human)', 'hGH', 'Human growth hormone', 'Recombinant human growth hormone', 'rhGH', 'Somatotropin (human)', 'Somatotropin human', 'Somatotropin human growth hormone', 'Somatropin', 'Somatropin (rDNA origin)', 'Somatropin (recombinant DNA origin)', 'Somatropin [rDNA origin]', 'Somatropin recombinant', 'Somatropin(recombinant DNA origin)', 'Somatropina']"
,"['Peg-asparaginase', 'Peg/L-asparaginase', 'Pegaspargasa', 'Pegaspargase']"
,"['Lipoprotein OspA antigen recombinant', 'Lipoprotein outer surface a borrelia burgdorferi antigen', 'OspA lipoprotein']"
,"['Human menopausal gonadotrophin', 'Menotrophin', 'Menotropin', 'Menotropina', 'Menotropins (FSH;LH)']"
,"['Anti-human thymocyte immunoglobulin, rabbit', 'Anti-T-lymphocyte immune globulin, rabbit', 'Anti-thymocyte globulin (rabbit)', 'Anti-thymocyte globulin rabbit', 'Antithymocyte immunoglobulin', 'Lapine T-lymphocyte immune globulin', 'Rabbit anti-human thymocyte globulin', 'Rabbit anti-human thymocyte globulin (rATG)', 'Rabbit anti-human thymocyte immunoglobulin', 'Rabbit anti-thymocyte immunoglobulin', 'Rabbit antithymocyte globulin', 'Rabbit ATG', 'rATG', 'Thymoglobulin', 'Thymoglobuline']"
,"['Recombinant human granulocyte-macrophage colony stimulating factor', 'rGM-CSF', 'rHu GM-CSF', 'Sargramostim']"
,"['Interferon beta 1-a', 'Interferon beta 1a', 'Interferon beta-1a', 'Interferon beta-1a (recombinant human)', 'Interferon beta-1a (recombinant)', 'Interferon beta-1a,recombinant', 'Interferon beta, recombinant human', 'Interferon-beta-1a', 'SNG001']"
,"['Growth hormone', 'Growth hormone (human)', 'hGH', 'Human growth hormone', 'Recombinant human growth hormone', 'rhGH', 'Somatotropin (human)', 'Somatotropin human', 'Somatotropin human growth hormone', 'Somatropin', 'Somatropin (rDNA origin)', 'Somatropin (recombinant DNA origin)', 'Somatropin [rDNA origin]', 'Somatropin recombinant', 'Somatropin(recombinant DNA origin)', 'Somatropina']"
,"['Oxitocina', 'Oxytocin']"
,"['Interferon alfa-2a', 'Interferon alfa-2a (genetical recombination)', 'Interferon alfa-2a (recombinant)', 'Interferon alfa-2a, recombinant', 'Interferon alfa-2a,recombinant', 'Interferon alpha-2a', 'Interferon-alfa-2a', 'Recombinant human interferon alfa-2a', 'Recombinant human interferon-alfa-2a', 'rIFN-alpha-2a', 'SH-polypeptide-46']"
,"['Daptomicina', 'Daptomycin', 'Daptomycine', 'Daptomycinum']"
,"['Ciclosporin', 'Ciclosporina', 'Ciclosporine', 'Ciclosporinum', 'CsA', 'CyA', 'Cyclosporin', 'Cyclosporin A', 'Cyclosporine']"
,"['(111In)-Capromab pendetide', 'Capromab pendetide', 'Indium (111In) capromab pendetide', 'Indium 111 Capromab Pendetide', 'Indium In 111 capromab pendetide']"
,"['Activated protein C', 'Blood coagulation factor XIV (human)', 'Drotrecogin alfa (activated)', 'Drotrecogin alfa (activated), lyophilized', 'Drotrecogin alfa activated', 'Drotrecogin alfa, activated', 'Drotrecogin-alfa', 'Recombinant human activated protein C (rH-APC)']"
,"['Interferon alfa-2b', 'Interferon alfa-2b (recombinant)', 'Interferon alfa-2b, recombinant', 'Interferon alpha-2B', 'Interferon α-2b', 'Intron (Interferon α2b)', 'Intron A', 'Intron A (Interferon α2b)', 'r-INF-alpha', 'rIFN-alpha-2b']"
,"['Insulin lispro', 'Insulin lispro (genetical recombination)', 'Insulin lispro (rDNA origin)', 'Insulin lispro protamine', 'Insulin lispro protamine recombinant', 'Insulin lispro recombinant', 'insulin lispro-aabc', 'Insulin,lispro,human/rDNA', 'Insulin,lispro,protamine/rDNA', 'Insulina lispro']"
,['Interferon alfa-n3']
,"['Coagulation factor IX (recombinant)', 'Coagulation factor IX recombinant human', 'Coagulation factor IX, recombinant', 'Factor IX (Recombinant)', 'nonacog alfa', 'nonacog gamma', 'Recombinant factor IX']"
,"['Botulin B', 'Botulinum antitoxin type B', 'Botulinum B toxin', 'Botulinum neurotoxin type B precursor', 'Botulinum toxin type B', 'BTX-B', 'RimabotulinumtoxinB', 'Toxina botulínica B']"
,"['Kinase (enzyme-activating), uro-urokinase', 'TCUK', 'Tissue culture urokinase', 'Two-chain urokinase', 'Urochinasi', 'Urokinase', 'Urokinasum', 'Uroquinasa']"
,"['Hyaluronidase (glycoprotein, sheep testis isoenzyme)', 'Hyaluronidase (ovine)', 'Hyaluronidase (sheep testis isoenzyme)', 'Hyaluronidase, ovine', 'Ovine hyaluronidase']"
,"['Ibritumomab', 'Ibritumomab tiuxetan', 'mAb Murine (IGG1) Anti P19437 (CD20_MOUSE)']"
,"['Clostridiopeptidase A', 'Clostridium histolyticum enzymes', 'Collagenase', 'Collagenase clostridium histolyticum', 'collagenase clostridium histolyticum-aaes']"
,"['Cetuximab', 'Cétuximab', 'Cetuximabum']"
,"['Agalsidasa beta', 'Agalsidase beta', 'Agalsidase beta (genetical recombination)']"
,"['Anisoylated plasminogen streptokinase activator complex', 'Anistreplase', 'APSAC']"
,"['Estreptoquinasa', 'Streptochinasi', 'Streptococcal fibrinolysin', 'Streptokinase', 'Streptokinasum']"
,"['IL-11', 'Interleukin 11', 'Interleukin-11', 'Oprelvekin', 'Recombinant interleukin-11']"
,"['Anisoylated plasminogen streptokinase activator complex', 'Anistreplase', 'APSAC']"
,['Omalizumab']
,"['Daptomicina', 'Daptomycin', 'Daptomycine', 'Daptomycinum']"
,"['Octreotida', 'Octreotide', 'Octreotidum', 'Octrotide']"
,"['Goserelin', 'Goserelina']"
,"['Indium (111In) satumomab pendetide', 'Indium In 111 satumomab pendetide', 'Indium-111 satumomab pendetide']"
,"['Activated protein C', 'Blood coagulation factor XIV (human)', 'Drotrecogin alfa (activated)', 'Drotrecogin alfa (activated), lyophilized', 'Drotrecogin alfa activated', 'Drotrecogin alfa, activated', 'Drotrecogin-alfa', 'Recombinant human activated protein C (rH-APC)']"
,"['Rituximab', 'rituximab-abbs', 'rituximab-arrx', 'rituximab-pvvr']"
,"['Oxitocina', 'Oxytocin']"
,"['Filgrastim', 'Filgrastim-aafi', 'Filgrastim-sndz', 'G-CSF', 'Granulocyte Colony Stimulating Factor', 'Tbo-filgrastim']"
,"['Coagulation factor VIIa', 'Coagulation factor VIIa (recombinant)', 'Coagulation factor VIIa (recombinant)-jncw', 'Eptacog alfa', 'Eptacog alfa (activated)', 'rFVIIa']"
,"['Pancrealipase', 'Pancreatic extract pancrelipase', 'Pancreatic protease', 'Pancreatin', 'Pancreatinum', 'Pancrelipase', 'Pancrelipase (amylase;lipase;protease)']"
,"['Anti-CD3', 'Muromonab-CD3']"
,"['Clostridiopeptidase A', 'Clostridium histolyticum enzymes', 'Collagenase', 'Collagenase clostridium histolyticum', 'collagenase clostridium histolyticum-aaes']"
,"['Aerosolized pooled immune globulin', 'Human gammaglobulin', 'Human IGG', 'Human immunoglobulin G', 'Human normal immunoglobulin', 'Immune globulin (human)', 'Immune globulin human', 'Immunoglobulin (human)', 'Immunoglobulin G (human)', 'Immunoglobulin G, human', 'Intravenous immune globulin (human)', 'Intravenous immunoglobulin (IVIg)']"
,['Tositumomab']
,['Alglucerase']
,"['Activated protein C', 'Blood coagulation factor XIV (human)', 'Drotrecogin alfa (activated)', 'Drotrecogin alfa (activated), lyophilized', 'Drotrecogin alfa activated', 'Drotrecogin alfa, activated', 'Drotrecogin-alfa', 'Recombinant human activated protein C (rH-APC)']"
,"['Aerosolized pooled immune globulin', 'Human gammaglobulin', 'Human IGG', 'Human immunoglobulin G', 'Human normal immunoglobulin', 'Immune globulin (human)', 'Immune globulin human', 'Immunoglobulin (human)', 'Immunoglobulin G (human)', 'Immunoglobulin G, human', 'Intravenous immune globulin (human)', 'Intravenous immunoglobulin (IVIg)']"
,"['Hyaluronidase (glycoprotein, sheep testis isoenzyme)', 'Hyaluronidase (ovine)', 'Hyaluronidase (sheep testis isoenzyme)', 'Hyaluronidase, ovine', 'Ovine hyaluronidase']"
,"['Human t-PA (residues 1-3 and 176-527)', 'Reteplasa', 'Reteplase', 'Reteplase, recombinant', 'Reteplase,recombinant']"
,"['Octreotida', 'Octreotide', 'Octreotidum', 'Octrotide']"
,"['Interferon beta 1-a', 'Interferon beta 1a', 'Interferon beta-1a', 'Interferon beta-1a (recombinant human)', 'Interferon beta-1a (recombinant)', 'Interferon beta-1a,recombinant', 'Interferon beta, recombinant human', 'Interferon-beta-1a', 'SNG001']"
,"['Clostridiopeptidase A', 'Clostridium histolyticum enzymes', 'Collagenase', 'Collagenase clostridium histolyticum', 'collagenase clostridium histolyticum-aaes']"
,['Tositumomab']
,"['Rituximab', 'rituximab-abbs', 'rituximab-arrx', 'rituximab-pvvr']"
,"['Interferon alfa-n1', 'Interferon alpha-n1 (INS)', 'WELL-FERON', 'WELLFERON']"
,"['E.P.O.', 'Epoetin alfa', 'Epoetin alfa rDNA', 'Epoetin alfa-epbx', 'Epoetin alfa, recombinant', 'Epoetin beta', 'Epoetin beta rDNA', 'Epoetin epsilon', 'Epoetin gamma', 'Epoetin gamma rDNA', 'Epoetin kappa', 'Epoetin omega', 'Epoetin theta', 'Epoetin zeta', 'Epoetina alfa', 'Epoetina beta', 'Epoetina dseta', 'Epoetina zeta', 'Epoétine zêta', 'Epoetinum zeta', 'Erythropoiesis stimulating factor', 'Erythropoietin (human, recombinant)', 'Erythropoietin (recombinant human)', 'ESF', 'SH-polypeptide-72']"
,"['Interferon alfa-2b', 'Interferon alfa-2b (recombinant)', 'Interferon alfa-2b, recombinant', 'Interferon alpha-2B', 'Interferon α-2b', 'Intron (Interferon α2b)', 'Intron A', 'Intron A (Interferon α2b)', 'r-INF-alpha', 'rIFN-alpha-2b']"
,"['E.P.O.', 'Epoetin alfa', 'Epoetin alfa rDNA', 'Epoetin alfa-epbx', 'Epoetin alfa, recombinant', 'Epoetin beta', 'Epoetin beta rDNA', 'Epoetin epsilon', 'Epoetin gamma', 'Epoetin gamma rDNA', 'Epoetin kappa', 'Epoetin omega', 'Epoetin theta', 'Epoetin zeta', 'Epoetina alfa', 'Epoetina beta', 'Epoetina dseta', 'Epoetina zeta', 'Epoétine zêta', 'Epoetinum zeta', 'Erythropoiesis stimulating factor', 'Erythropoietin (human, recombinant)', 'Erythropoietin (recombinant human)', 'ESF', 'SH-polypeptide-72']"
,"['Human menopausal gonadotrophin', 'Menotrophin', 'Menotropin', 'Menotropina', 'Menotropins (FSH;LH)']"
,"['Anti-human thymocyte immunoglobulin, rabbit', 'Anti-T-lymphocyte immune globulin, rabbit', 'Anti-thymocyte globulin (rabbit)', 'Anti-thymocyte globulin rabbit', 'Antithymocyte immunoglobulin', 'Lapine T-lymphocyte immune globulin', 'Rabbit anti-human thymocyte globulin', 'Rabbit anti-human thymocyte globulin (rATG)', 'Rabbit anti-human thymocyte immunoglobulin', 'Rabbit anti-thymocyte immunoglobulin', 'Rabbit antithymocyte globulin', 'Rabbit ATG', 'rATG', 'Thymoglobulin', 'Thymoglobuline']"
,"['Interferon beta 1-a', 'Interferon beta 1a', 'Interferon beta-1a', 'Interferon beta-1a (recombinant human)', 'Interferon beta-1a (recombinant)', 'Interferon beta-1a,recombinant', 'Interferon beta, recombinant human', 'Interferon-beta-1a', 'SNG001']"
,['Tositumomab']
,"['Aerosolized pooled immune globulin', 'Human gammaglobulin', 'Human IGG', 'Human immunoglobulin G', 'Human normal immunoglobulin', 'Immune globulin (human)', 'Immune globulin human', 'Immunoglobulin (human)', 'Immunoglobulin G (human)', 'Immunoglobulin G, human', 'Intravenous immune globulin (human)', 'Intravenous immunoglobulin (IVIg)']"
,"['Kinase (enzyme-activating), uro-urokinase', 'TCUK', 'Tissue culture urokinase', 'Two-chain urokinase', 'Urochinasi', 'Urokinase', 'Urokinasum', 'Uroquinasa']"
,['Basiliximab']
,"['Interferon alfa-2a', 'Interferon alfa-2a (genetical recombination)', 'Interferon alfa-2a (recombinant)', 'Interferon alfa-2a, recombinant', 'Interferon alfa-2a,recombinant', 'Interferon alpha-2a', 'Interferon-alfa-2a', 'Recombinant human interferon alfa-2a', 'Recombinant human interferon-alfa-2a', 'rIFN-alpha-2a', 'SH-polypeptide-46']"
,"['Albumin (human)', 'Albumin human', 'Albumin, blood', 'Albumin, human', 'Albumin, human-kjda', 'Human albumin', 'Human serum albumin', 'Serum albumin']"
,"['Vasopressin, unspecified', 'Vasopressina']"
,"['Insulin glargine', 'Insulin glargine (rDNA origin)', 'Insulin glargine recombinant', 'insulin glargine-yfgn', 'Insulina glargina']"
,"['Bivalirudin', 'Bivalirudina', 'Bivalirudinum']"
,"['IFN Alfacon-1', 'IFN-Con1', 'Interferon alfacon-1']"
,"['Alteplasa', 'Alteplase', 'Alteplase (genetical recombination)', 'Alteplase, recombinant', 'Alteplase,recombinant', 'Plasminogen activator (human tissue-type protein moiety)', 'rt-PA', 't-PA', 't-plasminogen activator', 'Tissue plasminogen activator', 'Tissue plasminogen activator alteplase', 'Tissue plasminogen activator, recombinant', 'tPA']"
,"['Abciximab', 'Abciximab (genetical recombination)', 'c7E3']"
,"['Kinase (enzyme-activating), uro-urokinase', 'TCUK', 'Tissue culture urokinase', 'Two-chain urokinase', 'Urochinasi', 'Urokinase', 'Urokinasum', 'Uroquinasa']"
,"['Albumin (human)', 'Albumin human', 'Albumin, blood', 'Albumin, human', 'Albumin, human-kjda', 'Human albumin', 'Human serum albumin', 'Serum albumin']"
,"['Ciclosporin', 'Ciclosporina', 'Ciclosporine', 'Ciclosporinum', 'CsA', 'CyA', 'Cyclosporin', 'Cyclosporin A', 'Cyclosporine']"
,"['Hyaluronidase (glycoprotein, sheep testis isoenzyme)', 'Hyaluronidase (ovine)', 'Hyaluronidase (sheep testis isoenzyme)', 'Hyaluronidase, ovine', 'Ovine hyaluronidase']"
,"['1-(3-mercaptopropionic acid)-8-D-arginine-vasopressin', '1-deamino-8-D-arginine vasopressin', '1-desamino-8-D-arginine vasopressin', 'dDAVP', 'Desmopresina', 'Desmopressin', 'Desmopressine', 'Desmopressinum']"
,"['(monomethoxypolyethylene glycol succinimidyl) 11-17-adenosine deaminase', 'PEG-adenosine deaminase', 'pegADA', 'Pegademase', 'Pegademase bovine']"
,"['IL-11', 'Interleukin 11', 'Interleukin-11', 'Oprelvekin', 'Recombinant interleukin-11']"
,"['Interferon beta 1b (recombinant)', 'Interferon beta-1b', 'Interferon beta-1b,recombinant', 'Interferon-beta-1b', 'Recombinant interferon beta-1b']"
,"['Digitalis antitoxin', 'Digoxin Immune Fab, Ovine', 'Digoxin-specific Antibody Fragments', 'Ovine digoxin immune fab']"
,"['Aerosolized pooled immune globulin', 'Human gammaglobulin', 'Human IGG', 'Human immunoglobulin G', 'Human normal immunoglobulin', 'Immune globulin (human)', 'Immune globulin human', 'Immunoglobulin (human)', 'Immunoglobulin G (human)', 'Immunoglobulin G, human', 'Intravenous immune globulin (human)', 'Intravenous immunoglobulin (IVIg)']"
,"['Becaplermin', 'PDGF-2', 'PDGF-BB', 'PDGFB', 'Platelet-derived growth factor BB, recombinant', 'Platelet-derived growth factor beta polypeptide', 'Recombinant platelet-derived growth factor BB', 'rhPDGF-BB', 'rPDGF-BB', 'SH-POLYPEPTIDE-59']"
,"['Rituximab', 'rituximab-abbs', 'rituximab-arrx', 'rituximab-pvvr']"
,"['Leuprorelin', 'Leuprorelina', 'Leuproreline', 'Leuprorelinum']"
